player,player_url,season_src,season_tgt,league_src,league_tgt,team_src,team_tgt,age_src,age_tgt,position,minutes_src,minutes_tgt,goals_p90_src,goals_p90_tgt,goals_p90_delta,assists_p90_src,assists_p90_tgt,assists_p90_delta,xg_p90_src,xg_p90_tgt,xg_p90_delta,xag_p90_src,xag_p90_tgt,xag_p90_delta,prog_passes_p90_src,prog_passes_p90_tgt,prog_passes_p90_delta,prog_carries_p90_src,prog_carries_p90_tgt,prog_carries_p90_delta,touches_p90_src,touches_p90_tgt,touches_p90_delta
Ainsley Maitland-Niles,https://fbref.com/en/players/e3a5814e/Ainsley-Maitland-Niles,2022-2023,2023-2024,Premier League,Ligue 1,Southampton,Lyon,24,26-275,"DF,MF",1407.0,1432.0,0.0,0.06284916201117319,0.06284916201117319,0.0,0.25139664804469275,0.25139664804469275,0.0,0.18854748603351956,0.18854748603351956,0.04477611940298507,0.1319832402234637,0.08720712082047863,3.6460554371002134,4.776536312849162,1.1304808757489484,0.9594882729211087,1.6340782122905027,0.6745899393693939,58.336886993603414,59.64385474860335,1.3069677549999383
Granit Xhaka,https://fbref.com/en/players/e61b8aee/Granit-Xhaka,2022-2023,2023-2024,Premier League,Bundesliga,Arsenal,Leverkusen,29,31-246,MF,2993.0,2821.0,0.2104911460073505,0.0957107408720312,-0.1147804051353193,0.2104911460073505,0.0,-0.2104911460073505,0.1413297694620782,0.05742644452321872,-0.08390332493885949,0.1563648513197461,0.08613966678482808,-0.07022518453491801,5.893752088205814,12.506203473945408,6.612451385739594,1.262946876044103,1.914214817440624,0.651267941396521,56.86267958569997,113.51293867422899,56.65025908852902
Gonçalo Guedes,https://fbref.com/en/players/e6bc67d7/Goncalo-Guedes,2022-2023,2023-2024,Premier League,La Liga,Wolves,Villarreal,25,27-183,"FW,MF",707.0,951.0,0.1272984441301273,0.28391167192429023,0.15661322779416292,0.1272984441301273,0.18927444794952683,0.06197600381939952,0.15275813295615276,0.21766561514195581,0.06490748218580306,0.06364922206506365,0.14195583596214512,0.07830661389708146,2.036775106082037,4.73186119873817,2.6950860926561333,2.545968882602546,3.5962145110410098,1.0502456284384638,35.64356435643565,41.07255520504732,5.428990848611676
Jordan Zemura,https://fbref.com/en/players/e8271ad9/Jordan-Zemura,2022-2023,2023-2024,Premier League,Serie A,Bournemouth,Udinese,22,24-198,DF,1454.0,1038.0,0.0,0.08670520231213873,0.08670520231213873,0.06189821182943604,0.0,-0.06189821182943604,0.02475928473177442,0.06936416184971099,0.04460487711793657,0.11760660247592847,0.034682080924855495,-0.08292452155107297,2.785419532324622,2.7745664739884393,-0.010853058336182553,2.414030261348006,1.9942196531791907,-0.4198106081688151,50.013755158184324,41.01156069364162,-9.002194464542704
Ruben Loftus-Cheek,https://fbref.com/en/players/e97fd090/Ruben-Loftus-Cheek,2022-2023,2023-2024,Premier League,Serie A,Chelsea,Milan,26,28-128,"MF,DF",1536.0,2068.0,0.0,0.2611218568665377,0.2611218568665377,0.05859375,0.043520309477756286,-0.015073440522243714,0.046875,0.16102514506769827,0.11415014506769827,0.087890625,0.10444874274661509,0.016558117746615086,5.2734375,3.220502901353965,-2.052934598646035,3.28125,3.1769825918762087,-0.10426740812379132,62.578125,41.47485493230174,-21.10327006769826
André Onana,https://fbref.com/en/players/e9c0c1b2/Andre-Onana,2022-2023,2023-2024,Serie A,Premier League,Inter,Manchester Utd,26,28-058,GK,2160.0,3420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.002631578947368421,-0.0015350877192982456,0.08333333333333333,0.13157894736842105,0.04824561403508772,0.0,0.02631578947368421,0.02631578947368421,44.625,42.86842105263158,-1.7565789473684177
Robin Koch,https://fbref.com/en/players/ea6bc03a/Robin-Koch,2022-2023,2023-2024,Premier League,Bundesliga,Leeds United,Eint Frankfurt,26,27-318,DF,3175.0,2738.0,0.0,0.06574141709276844,0.06574141709276844,0.0,0.0,0.0,0.04251968503937008,0.1018991964937911,0.059379511454421025,0.011338582677165355,0.006574141709276845,-0.00476444096788851,3.231496062992126,3.81300219138057,0.581506128388444,0.3118110236220472,0.4601899196493791,0.1483788960273319,55.644094488188976,81.15777940102265,25.513684912833675
Nemanja Matić,https://fbref.com/en/players/eb7822d7/Nemanja-Matic,2022-2023,2023-2024,Serie A,Ligue 1,Roma,Lyon,33,35-303,MF,1852.0,1254.0,0.09719222462203023,0.0,-0.09719222462203023,0.09719222462203023,0.0,-0.09719222462203023,0.04859611231101511,0.021531100478468897,-0.027065011832546216,0.1263498920086393,0.043062200956937795,-0.0832876910517015,6.5118790496760255,8.4688995215311,1.957020471855074,2.4298056155507557,1.8660287081339713,-0.5637769074167844,71.6792656587473,78.94736842105263,7.2681027623053325
Beto,https://fbref.com/en/players/ed5c0319/Beto,2022-2023,2023-2024,Serie A,Premier League,Udinese,Everton,24,26-120,FW,2129.0,951.0,0.4227336777829967,0.28391167192429023,-0.13882200585870647,0.042273367778299674,0.0,-0.042273367778299674,0.46077970878346647,0.6435331230283912,0.1827534142449247,0.10991075622357915,0.08517350157728706,-0.02473725464629209,0.5495537811178958,1.3249211356466877,0.7753673545287919,1.0568341944574917,1.3249211356466877,0.26808694118919596,27.562235791451386,35.29968454258675,7.737448751135368
Renan Lodi,https://fbref.com/en/players/ed9f7cfe/Renan-Lodi,2022-2023,2023-2024,Premier League,Ligue 1,Nott'ham Forest,Marseille,24,26-052,DF,2214.0,1235.0,0.0,0.0,0.0,0.04065040650406504,0.0,-0.04065040650406504,0.04065040650406504,0.02186234817813765,-0.01878805832592739,0.048780487804878044,0.09473684210526316,0.04595635430038512,1.2601626016260161,3.716599190283401,2.456436588657385,0.975609756097561,1.8218623481781377,0.8462525920805768,46.46341463414634,63.69230769230769,17.228893058161354
Santiago Bueno,https://fbref.com/en/players/edc98fac/Santiago-Bueno,2022-2023,2023-2024,La Liga,Premier League,Girona,Wolves,23,25-203,DF,3010.0,822.0,0.0,0.0,0.0,0.029900332225913623,0.0,-0.029900332225913623,0.03887043189368771,0.0,-0.03887043189368771,0.03289036544850499,0.010948905109489052,-0.021941460339015936,4.425249169435216,1.2043795620437956,-3.2208696073914203,0.8970099667774086,0.3284671532846716,-0.568542813492737,62.73089700996678,61.970802919708035,-0.7600940902587467
Arnaut Danjuma,https://fbref.com/en/players/f08490a6/Arnaut-Danjuma,2022-2023,2023-2024,La Liga,Premier League,Villarreal,Everton,25,27-120,FW,479.0,595.0,0.3757828810020877,0.1512605042016807,-0.224522376800407,0.0,0.0,0.0,0.5073068893528184,0.3932773109243698,-0.11402957842844863,0.07515657620041755,0.16638655462184876,0.09122997842143121,0.3757828810020877,1.361344537815126,0.9855616568130384,2.2546972860125263,3.6302521008403366,1.3755548148278103,25.36534446764092,33.73109243697479,8.36574796933387
Mohamed Ali Cho,https://fbref.com/en/players/f8405304/Mohamed-Ali-Cho,2022-2023,2023-2024,La Liga,Ligue 1,Real Sociedad,Nice,18,20-132,"FW,MF",587.0,861.0,0.15332197614991483,0.10452961672473868,-0.04879235942517615,0.30664395229982966,0.20905923344947736,-0.0975847188503523,0.27597955706984667,0.11498257839721256,-0.16099697867263413,0.24531516183986374,0.20905923344947736,-0.03625592839038638,1.2265758091993186,2.6132404181184667,1.3866646089191481,4.599659284497445,5.017421602787457,0.41776231829001187,43.08347529812607,38.78048780487805,-4.302987493248018
Lovro Majer,https://fbref.com/en/players/fc46aab1/Lovro-Majer,2022-2023,2023-2024,Ligue 1,Bundesliga,Rennes,Wolfsburg,24,26-134,"MF,FW",1668.0,2106.0,0.1079136690647482,0.2136752136752137,0.1057615446104655,0.2697841726618705,0.2136752136752137,-0.0561089589866568,0.1780575539568345,0.2307692307692308,0.0527116768123963,0.23741007194244604,0.13675213675213677,-0.10065793519030927,7.230215827338129,5.2991452991453,-1.931070528192829,3.5611510791366903,2.606837606837607,-0.9543134722990834,64.04676258992805,55.042735042735046,-9.004027547193004
Kieran Tierney,https://fbref.com/en/players/fce2302c/Kieran-Tierney,2022-2023,2023-2024,Premier League,La Liga,Arsenal,Real Sociedad,25,26-360,DF,795.0,1238.0,0.0,0.0,0.0,0.11320754716981131,0.14539579967689822,0.032188252507086915,0.033962264150943396,0.014539579967689823,-0.019422684183253575,0.033962264150943396,0.04361873990306946,0.009656475752126067,4.0754716981132075,5.597738287560581,1.5222665894473737,2.830188679245283,1.5993537964458804,-1.2308348827994025,65.54716981132076,76.76898222940225,11.221812418081498
Jeremie Boga,https://fbref.com/en/players/fe012aca/Jeremie-Boga,2022-2023,2023-2024,Serie A,Ligue 1,Atalanta,Nice,25,27-148,"MF,FW",782.0,1998.0,0.23017902813299235,0.2702702702702703,0.04009124213727794,0.5754475703324808,0.2702702702702703,-0.30517730006221055,0.21867007672634273,0.19369369369369369,-0.02497638303264904,0.32225063938618925,0.1891891891891892,-0.13306145019700005,6.099744245524297,2.882882882882883,-3.216861362641414,7.365728900255755,4.81981981981982,-2.5459090804359352,69.0537084398977,43.96396396396396,-25.089744475933742
Pol Lirola,https://fbref.com/en/players/ff800ed8/Pol-Lirola,2022-2023,2023-2024,La Liga,Serie A,Elche,Frosinone,24,26-291,DF,628.0,1536.0,0.14331210191082802,0.1171875,-0.02612460191082802,0.0,0.05859375,0.05859375,0.028662420382165606,0.076171875,0.047509454617834394,0.10031847133757961,0.064453125,-0.03586534633757961,2.7229299363057327,3.80859375,1.0856638136942673,3.0095541401273884,1.7578125,-1.2517416401273884,56.751592356687894,51.2109375,-5.540654856687894
